"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4","3","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3,C5,C6","3","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7","1","220uF","","","","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"C8","1","10nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1","1","D_Zener","","","","Diode_SMD:D_MiniMELF","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_Palconn_UTC16-G","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"LS1","1","Speaker","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"Q1,Q2","2","SS8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf"
"R1,R3,R4,R7,R8,R9,R10,R11","8","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1","150","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5,R6","2","5.1K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R12","1","3.3k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","SW1","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW2","1","SW2","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW3","1","SW3 / BOOT","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW4","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles","~"
"SW5","1","RESET","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"U1,U3","2","CC56-12SURKWA","","","","Display_7Segment:CA56-12SURKWA","http://www.kingbright.com/attachments/file/psearch/000/00/00/CC56-12SURKWA(Ver.7A).pdf"
"U2","1","MAX7219","","","","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf"
"U4","1","LM386","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U5","1","CH340C","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf"
"U6","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U7","1","ESP-12F","","","","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
